ID,Tweet,Influenza,Diarrhea,Hayfever,Cough,Headache,Fever,Runnynose,Cold,labels,is_test
1en,The cold makes my whole body weak.,0,0,0,0,0,0,0,1,Cold,False
2en,It's been a while since I've had allergy symptoms.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
3en,I'm so feverish and out of it because of my allergies. I'm so sleepy.,0,0,1,0,0,1,1,0,Hayfever;Fever;Runnynose,False
4en,"I took some medicine for my runny nose, but it won't stop.",0,0,0,0,0,0,1,0,Runnynose,False
5en,I had a bad case of diarrhea when I traveled to Nepal.,0,0,0,0,0,0,0,0,sober,False
6en,"It takes a millennial wimp to call in sick just because they're coughing. It's always important to go to work, no matter what.",0,0,0,1,0,0,0,0,Cough,False
7en,"I'm not going today, because my stuffy nose is killing me.",0,0,0,0,0,0,1,0,Runnynose,False
8en,I never thought I would have allergies.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
9en,I have a fever but I don't think it's the kind of cold that will make it to my stomach.,0,0,0,0,0,1,0,1,Fever;Cold,False
10en,My phlegm has blood in it and it's really gross.,0,0,0,1,0,0,0,0,Cough,False
11en,"They say we will have less pollen next spring, but it doesn't really matter to me, since my allergy gets severe in the autumn.",0,0,0,0,0,0,0,0,sober,False
12en,This is not good. I coughed too much and I got a headache from it.,0,0,0,1,1,0,0,0,Cough;Headache,False
13en,"I had a little fever and I thought it was a cold, but it turned out to be allergies. I had no idea it could cause a fever as well.",0,0,1,0,0,1,1,1,Hayfever;Fever;Runnynose;Cold,False
14en,I went to get vaccinated for the flu.,0,0,0,0,0,0,0,0,sober,False
15en,"My headache is killing me, so I'm going to go home and sleep.",0,0,0,0,1,0,0,0,Headache,False
16en,A cold is a legit disease.,0,0,0,0,0,0,0,0,sober,False
17en,I was suffering from diarrhea the whole time I was traveling in Nepal for a soccer match.,0,0,0,0,0,0,0,0,sober,False
18en,I wonder if there's a way to reduce the phlegm.,0,0,0,1,0,0,0,0,Cough,False
19en,This sucks. I caught a cold. I'm so lightheaded.,0,0,0,0,0,0,0,1,Cold,False
20en,I met this person through a dog-related blog who has a bad stuffy nose and can hardly breathe. You can't brush a head cold off as merely a head cold.,0,0,0,0,0,0,0,0,sober,False
21en,"I have a cold and am taking medicine, but it makes me so sleepy. I wish I could have called in sick...",0,0,0,0,0,0,0,1,Cold,False
22en,"I checked my temperature because of all the phlegm I was coughing up, and it turned out that I had a high fever.",0,0,0,1,0,1,0,0,Cough;Fever,False
23en,"I thought it was just allergies, but now I have a fever. It looks like I have a cold.",0,0,1,0,0,1,1,1,Hayfever;Fever;Runnynose;Cold,False
24en,I've had a bad headache since this morning. I wonder if that's because I drank too much yesterday.,0,0,0,0,1,0,0,0,Headache,False
25en,There was this pandemic called Spanish flu.,0,0,0,0,0,0,0,0,sober,False
26en,I feel lighteheaded because of a cold and headache.,0,0,0,0,1,0,0,1,Headache;Cold,False
27en,"I just got the flu for the second time this year, and I'm wondering if it's because I got so weak, being exposed to all the radioactive stuff from the nuclear power plant crisis.",1,0,0,0,0,1,0,0,Influenza;Fever,False
28en,I gotta laugh. My diarrhea is so bad.,0,1,0,0,0,0,0,0,Diarrhea,False
29en,I don't even know where I am with the throbbing headache that's attacking me. ,0,0,0,0,1,0,0,0,Headache,False
30en,It's such a headache that this contract won't go well.,0,0,0,0,0,0,0,0,sober,False
31en,I never thought I would get the flu. I even got a flu shot.,1,0,0,0,0,1,0,0,Influenza;Fever,False
32en,"My head hurts and my nose is all runny, so I decided to take a day off.",0,0,0,0,1,0,1,0,Headache;Runnynose,False
33en,"It's not unusual for lymph nodes to get swollen, even when there's no fever. ",0,0,0,0,0,0,0,0,sober,False
34en,"The mumps is not easy to deal with, when you're an adult.",0,0,0,0,0,0,0,0,sober,False
35en,My headache got better after taking a bath.,0,0,0,0,1,0,0,0,Headache,False
36en,"I can't go back to work, since I still have a fever.",0,0,0,0,0,1,0,0,Fever,False
37en,"According to the news, a fever is one of the symptoms of the cold this year around.",0,0,0,0,0,0,0,0,sober,False
38en,"I took Aspirin, thinking my fever was caused by a cold, but it turned out to be something else.",0,0,0,0,0,1,0,1,Fever;Cold,False
39en,I wear a mask as a precaution against the flu when I go out.,0,0,0,0,0,0,0,0,sober,False
40en,"Now that I think of it, it's flu season.",0,0,0,0,0,0,0,0,sober,False
41en,My wife is so feverish from allergies that she can't even drink water.,0,0,1,0,0,1,1,0,Hayfever;Fever;Runnynose,False
42en,"Don't you think, if someone coughs right in front of you, they're putting on a show?",0,0,0,1,0,0,0,0,Cough,False
43en,My cold's grown really bad. I feel so weak and lightheaded.,0,0,0,0,0,0,0,1,Cold,False
44en,It's really bad. My eczema and allergies are acting up at the same time.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
45en,I really want to make my stuffy nose go away.,0,0,0,0,0,0,1,0,Runnynose,False
46en,"My stomach has been acting up, and I get the runs all the time.",0,1,0,0,0,0,0,0,Diarrhea,False
47en,"When I have a cold, I trust my immune system and try not to use any fever medicine.",0,0,0,0,0,0,0,1,Cold,False
48en,"Somebody, come up with a prescription medicine that works crazy well on allergies!",0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
49en,"If you can't be considerate and have manners when you cough on the train, don't even get on it.",0,0,0,1,0,0,0,0,Cough,False
50en,Don't even think about taking off for a mere cold.,0,0,0,0,0,0,0,1,Cold,False
51en,Thinking about how to deal with allergies is such a waste of time.,0,0,0,0,0,0,0,0,sober,False
52en,"I thought I felt a cold coming on, and now I've got a full-blown cold.",0,0,0,0,0,0,0,1,Cold,False
53en,"It seems like in China, even allergies are getting worse.",0,0,0,0,0,0,0,0,sober,False
54en,"Your job was to develop cold medicines, right?",0,0,0,0,0,0,0,0,sober,False
55en,I haven't had the mumps yet.,0,0,0,0,0,0,0,0,sober,False
56en,"My nose is so runny and awful, I can't take it anymore.",0,0,0,0,0,0,1,0,Runnynose,False
57en,Has a medicine to cure colds been found yet?,0,0,0,0,0,0,0,0,sober,False
58en,"I couldn't go out because of a fever, so I was watching TV the whole time.",0,0,0,0,0,1,0,0,Fever,False
59en,"Whenever I go home, I get a headache.",0,0,0,0,1,0,0,0,Headache,False
60en,I can't take my stuffy nose anymore.,0,0,0,0,0,0,1,0,Runnynose,False
61en,I had a high fever at work and got really scared because my nose wouldn't stop running.,0,0,0,0,0,1,1,0,Fever;Runnynose,False
62en,You should go straight home when your head hurts.,0,0,0,0,1,0,0,0,Headache,False
